id,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
81,Hyundai Grand,Hyundai,Grand,6,75000,Dealer,Diesel,Manual,24,1120,70,5,350000
82,Ford Aspire,Ford,Aspire,4,58000,Dealer,Petrol,Manual,18.16,1196,86.8,5,500000
83,Maruti Swift Dzire,Maruti,Swift Dzire,3,30000,Individual,Petrol,Manual,21.21,1197,81.8,5,575000
84,Hyundai Grand,Hyundai,Grand,3,50000,Individual,Diesel,Manual,24,1186,73.97,5,545000
85,Ford Figo,Ford,Figo,4,19093,Trustmark Dealer,Petrol,Manual,18.16,1196,86.8,5,525000
86,Honda Amaze,Honda,Amaze,7,50000,Individual,Petrol,Manual,18,1198,86.7,5,400000
87,Maruti Wagon R,Maruti,Wagon R,15,37000,Dealer,Petrol,Manual,14,1061,64,5,155000
88,Mahindra Supro,Mahindra,Supro,2,3888,Individual,Diesel,Manual,23.5,909,45,8,540000
89,Maruti Swift Dzire,Maruti,Swift Dzire,5,47000,Dealer,Diesel,Manual,26.59,1248,74,5,545000
90,Honda City,Honda,City,8,70000,Individual,Petrol,Manual,16.8,1497,116.3,5,545000
91,Renault KWID,Renault,KWID,5,25000,Individual,Petrol,Manual,25.17,799,53.3,5,240000
92,Maruti Vitara,Maruti,Vitara,3,26000,Dealer,Diesel,Manual,24.3,1248,88.5,5,725000
93,Ford Aspire,Ford,Aspire,4,30000,Individual,Petrol,Manual,18.16,1196,86.8,5,480000
94,Hyundai i20,Hyundai,i20,8,15000,Individual,Petrol,Manual,18.5,1197,82.9,5,375000
95,Maruti Swift,Maruti,Swift,10,160000,Individual,Diesel,Manual,17.8,1248,75,5,225000
96,Tata Tiago,Tata,Tiago,4,32100,Individual,Petrol,Manual,23.84,1199,84,5,400000
97,Hyundai i20,Hyundai,i20,5,22000,Dealer,Petrol,Manual,18.5,1197,82.9,5,550000
98,Mahindra Scorpio,Mahindra,Scorpio,5,44000,Dealer,Diesel,Manual,15.4,2179,120,7,1050000
99,Volkswagen Polo,Volkswagen,Polo,5,78000,Dealer,Petrol,Manual,18.78,1198,74,5,450000
100,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,9,74352,Dealer,Petrol,Automatic,11.74,1796,186,5,775000
101,Maruti Wagon R,Maruti,Wagon R,7,37000,Individual,Petrol,Manual,20.51,998,67.04,5,350000
102,Honda City,Honda,City,7,69000,Dealer,Diesel,Manual,25.1,1498,98.6,5,550000
103,Kia Seltos,Kia,Seltos,2,12120,Individual,Petrol,Manual,16.8,1497,113.4,5,1080000
104,Maruti Baleno,Maruti,Baleno,5,52000,Dealer,Petrol,Manual,21.01,1197,81.8,5,575000
105,Toyota Innova,Toyota,Innova,5,120000,Individual,Diesel,Manual,12.99,2494,100.6,8,950000
106,Maruti Alto,Maruti,Alto,8,55000,Individual,Petrol,Manual,22.74,796,47.3,5,230000
107,Hyundai i20,Hyundai,i20,10,160000,Individual,Diesel,Manual,21.9,1396,90,5,270000
108,Chevrolet Beat,Chevrolet,Beat,9,42000,Dealer,Diesel,Manual,25.44,936,56.3,5,165000
109,Ford Figo,Ford,Figo,10,40000,Individual,Petrol,Manual,15.6,1196,70,5,130000
110,Maruti Swift Dzire,Maruti,Swift Dzire,9,46000,Dealer,Petrol,Manual,19.1,1197,85.8,5,370000
111,Maruti Baleno,Maruti,Baleno,4,25000,Dealer,Petrol,Manual,21.4,1197,83.1,5,570000
112,Toyota Etios,Toyota,Etios,6,240000,Individual,Diesel,Manual,23.59,1364,67.05,5,390000
113,Volkswagen Polo,Volkswagen,Polo,8,90000,Dealer,Diesel,Manual,22.07,1199,73.9,5,365000
114,Hyundai i20,Hyundai,i20,9,49566,Dealer,Petrol,Manual,18.5,1197,82.85,5,280000
115,Hyundai Verna,Hyundai,Verna,3,14000,Dealer,Diesel,Automatic,22,1582,126.2,5,1250000
116,Hyundai i20,Hyundai,i20,5,11000,Dealer,Petrol,Manual,18.6,1197,81.83,5,590000
117,Maruti Celerio,Maruti,Celerio,3,5000,Individual,Petrol,Automatic,23.1,998,67.04,5,475000
118,Ford Ecosport,Ford,Ecosport,4,55000,Dealer,Diesel,Manual,23,1498,98.96,5,685000
119,Hyundai Verna,Hyundai,Verna,9,65000,Dealer,Diesel,Automatic,19.08,1582,126.32,5,380000
120,Renault KWID,Renault,KWID,3,22000,Individual,Petrol,Manual,23.01,999,67,5,330000
121,Maruti Baleno,Maruti,Baleno,3,7671,Trustmark Dealer,Petrol,Manual,21.01,1197,81.8,5,650000
122,Maruti Wagon R,Maruti,Wagon R,5,66000,Individual,Petrol,Manual,20.51,998,67.04,5,325000
123,Maruti Swift Dzire,Maruti,Swift Dzire,3,45156,Dealer,Petrol,Automatic,21.21,1197,81.8,5,640000
124,Hyundai Venue,Hyundai,Venue,2,25000,Individual,Petrol,Manual,18.27,998,118.35,5,949000
125,Nissan Terrano,Nissan,Terrano,6,70000,Individual,Diesel,Manual,20.45,1461,83.8,5,750000
126,Hyundai Verna,Hyundai,Verna,6,120000,Individual,Diesel,Manual,23.9,1582,126.2,5,660000
127,Maruti Swift,Maruti,Swift,7,28000,Dealer,Petrol,Manual,16.1,1197,85,5,435000
128,Hyundai i20,Hyundai,i20,8,55000,Dealer,Diesel,Manual,21.9,1396,88.76,5,385000
129,Hyundai Santa,Hyundai,Santa,10,104000,Individual,Diesel,Manual,14.66,2199,194.3,7,1000000
130,Hyundai Verna,Hyundai,Verna,2,14000,Dealer,Diesel,Automatic,22,1582,126.2,5,1250000
131,Hyundai Xcent,Hyundai,Xcent,4,18000,Individual,Petrol,Manual,20.14,1197,81.86,5,550000
132,Maruti Wagon R,Maruti,Wagon R,12,98780,Dealer,Petrol,Manual,18.9,998,67.1,5,155000
133,Maruti Swift,Maruti,Swift,6,58000,Dealer,Diesel,Manual,25.2,1248,74,5,415000
134,Maruti Alto,Maruti,Alto,10,30000,Individual,Petrol,Manual,20.92,998,67.1,5,251000
135,Mahindra Scorpio,Mahindra,Scorpio,5,46400,Dealer,Diesel,Manual,15.4,2179,120,7,1150000
136,Hyundai i10,Hyundai,i10,7,32111,Trustmark Dealer,Petrol,Manual,19.81,1086,68.05,5,310000
137,Datsun GO,Datsun,GO,6,35000,Individual,Petrol,Manual,19.44,1198,67,7,350000
138,Mahindra Scorpio,Mahindra,Scorpio,4,30000,Dealer,Diesel,Manual,15.4,1997,120,7,1125000
139,BMW 5,BMW,5,5,63000,Dealer,Diesel,Automatic,18.59,2993,261.49,5,2600000
140,Chevrolet Beat,Chevrolet,Beat,4,43890,Individual,Petrol,Manual,17.8,1199,76.8,5,200000
141,Datsun GO,Datsun,GO,3,10000,Individual,Petrol,Manual,20.62,1198,67,7,480000
142,Maruti Swift Dzire,Maruti,Swift Dzire,4,25000,Individual,Diesel,Automatic,28.4,1248,74.02,5,850000
143,Hyundai Creta,Hyundai,Creta,4,102000,Dealer,Diesel,Automatic,17.01,1582,126.2,5,1100000
144,Maruti Swift,Maruti,Swift,3,35000,Dealer,Petrol,Manual,22,1197,81.8,5,575000
145,Maruti Swift Dzire,Maruti,Swift Dzire,9,49948,Dealer,Petrol,Manual,17.5,1298,85.8,5,340000
146,Tata Indigo,Tata,Indigo,3,114851,Individual,Diesel,Manual,25,1396,69.01,5,559000
147,Ford Ecosport,Ford,Ecosport,3,55000,Individual,Diesel,Manual,23,1498,98.96,5,925000
148,Hyundai Grand,Hyundai,Grand,6,36000,Dealer,Petrol,Manual,18.9,1197,82,5,400000
149,Hyundai Xcent,Hyundai,Xcent,2,35000,Individual,Diesel,Manual,25.4,1186,73.97,5,560000
150,Honda City,Honda,City,5,49625,Dealer,Petrol,Manual,17.8,1497,117.3,5,725000
151,Maruti Swift Dzire,Maruti,Swift Dzire,7,35000,Individual,Diesel,Manual,23.4,1248,74,5,600000
152,Mahindra Scorpio,Mahindra,Scorpio,8,95000,Individual,Diesel,Manual,12.05,2179,120,8,550000
153,Ford Aspire,Ford,Aspire,4,36000,Dealer,Diesel,Manual,25.83,1498,99,5,585000
154,Maruti Wagon R,Maruti,Wagon R,2,50000,Individual,Petrol,Manual,21.79,998,67.05,5,411000
155,Maruti Swift Dzire,Maruti,Swift Dzire,6,26500,Individual,Petrol,Manual,20.85,1197,83.14,5,450000
156,Honda CR-V,Honda,CR-V,6,80000,Dealer,Petrol,Automatic,13.7,1997,153.86,5,1290000
157,Volkswagen Polo,Volkswagen,Polo,6,46000,Dealer,Petrol,Manual,16.47,1198,74,5,455000
158,Hyundai Grand,Hyundai,Grand,2,9000,Individual,Petrol,Manual,20.7,1197,81.86,5,710000
159,Mahindra TUV,Mahindra,TUV,5,70000,Individual,Diesel,Manual,18.49,1493,100,7,450000
160,Toyota Etios,Toyota,Etios,6,33000,Dealer,Petrol,Manual,17.71,1197,78.9,5,465000
161,Honda City,Honda,City,5,53000,Dealer,Petrol,Manual,16.8,1497,116.3,5,770000
162,Tata Indigo,Tata,Indigo,6,50000,Individual,Diesel,Manual,19.09,1405,69.01,5,320000
163,Tata Indigo,Tata,Indigo,6,50000,Individual,Diesel,Manual,19.09,1405,69.01,5,325000
164,Ford Endeavour,Ford,Endeavour,3,11387,Individual,Diesel,Automatic,10.91,3198,197,7,2900000
165,Honda Amaze,Honda,Amaze,3,50000,Individual,Diesel,Manual,25.8,1498,98.6,5,720000
166,Mahindra KUV,Mahindra,KUV,5,52000,Dealer,Diesel,Manual,25.32,1198,77,5,375000
167,Chevrolet Aveo,Chevrolet,Aveo,11,60000,Individual,Petrol,Manual,14.49,1399,92.7,5,145000
168,Datsun GO,Datsun,GO,6,35000,Individual,Petrol,Manual,19.44,1198,67,7,400000
169,Renault Duster,Renault,Duster,6,48000,Individual,Diesel,Manual,19.87,1461,83.8,5,600000
170,Honda Jazz,Honda,Jazz,3,18000,Individual,Petrol,Manual,18.7,1199,88.7,5,600000
171,Maruti Wagon R,Maruti,Wagon R,9,57413,Individual,LPG,Manual,14.4,998,61.7,5,270000
172,Hyundai i20,Hyundai,i20,6,30000,Individual,Petrol,Manual,18.6,1197,81.83,5,500000
173,Hyundai Verna,Hyundai,Verna,6,55000,Dealer,Diesel,Manual,23.9,1582,126.2,5,650000
174,Chevrolet Sail,Chevrolet,Sail,6,120000,Individual,Petrol,Manual,18.2,1199,82.4,5,380000
175,Mitsubishi Pajero,Mitsubishi,Pajero,9,165000,Individual,Diesel,Manual,13.5,2477,175.56,7,728000
176,Maruti Swift,Maruti,Swift,3,10000,Individual,Petrol,Automatic,21.21,1197,81.8,5,660000
177,Tata Indica,Tata,Indica,11,120000,Individual,Diesel,Manual,18,1248,75,5,180000
178,BMW 3,BMW,3,5,68000,Dealer,Diesel,Automatic,22.69,1995,190,5,2090000
179,Chevrolet Beat,Chevrolet,Beat,6,55000,Dealer,Diesel,Manual,25.44,936,56.3,5,250000
180,Kia Seltos,Kia,Seltos,1,8000,Dealer,Petrol,Manual,16.8,1497,113.4,5,1275000
181,Toyota Corolla,Toyota,Corolla,9,80000,Dealer,Petrol,Manual,14.53,1798,138.1,5,455000
182,Maruti Swift,Maruti,Swift,6,65000,Dealer,Diesel,Manual,28.4,1248,74,5,495000
183,Maruti Ritz,Maruti,Ritz,11,47000,Individual,Petrol,Manual,21.1,1197,85.8,5,220000
184,Maruti S-Cross,Maruti,S-Cross,3,185000,Individual,Diesel,Manual,25.1,1248,88.5,5,800000
185,Hyundai Santa,Hyundai,Santa,7,68000,Dealer,Diesel,Automatic,13.01,2199,194.3,7,1295000
186,Hyundai Grand,Hyundai,Grand,5,25000,Individual,Petrol,Manual,18.9,1197,82,5,475000
187,Tata Sumo,Tata,Sumo,7,280000,Individual,Diesel,Manual,15.3,2956,83.83,7,380000
188,Maruti S-Cross,Maruti,S-Cross,3,7791,Individual,Diesel,Manual,25.1,1248,88.5,5,900000
189,Maruti Ciaz,Maruti,Ciaz,6,70000,Individual,Petrol,Manual,20.73,1373,91.1,5,530000
190,Tata Tiago,Tata,Tiago,5,9500,Individual,Petrol,Manual,23.84,1199,84,5,530000
191,Hyundai Verna,Hyundai,Verna,6,9100,Individual,Petrol,Manual,17.01,1591,121.3,5,650000
192,Honda Accord,Honda,Accord,11,82000,Dealer,Petrol,Manual,12.8,2354,177.6,5,495000
193,Honda City,Honda,City,11,86000,Dealer,Petrol,Manual,17,1497,118,5,335000
194,Audi Q5,Audi,Q5,1,19000,Dealer,Diesel,Automatic,17.01,1968,188,5,4675000
195,Audi A4,Audi,A4,8,78000,Dealer,Diesel,Automatic,16.55,1968,147.51,5,1290000
196,Ford Figo,Ford,Figo,10,60000,Individual,Diesel,Manual,20,1399,68,5,300000
197,Maruti Wagon R,Maruti,Wagon R,2,7883,Trustmark Dealer,Petrol,Automatic,21.5,1197,81.8,5,550000
198,Maruti Swift Dzire,Maruti,Swift Dzire,8,50205,Trustmark Dealer,Diesel,Manual,23.4,1248,74,5,390000
199,Mahindra Bolero,Mahindra,Bolero,13,220000,Individual,Diesel,Manual,13.6,2523,63,7,260000
200,Tata Tigor,Tata,Tigor,4,58000,Dealer,Diesel,Manual,24.7,1047,69,5,395000
201,Mahindra Scorpio,Mahindra,Scorpio,9,170000,Individual,Diesel,Manual,12.05,2179,120,8,550000
202,Maruti Swift Dzire,Maruti,Swift Dzire,3,15000,Individual,Petrol,Manual,22,1197,81.8,5,650000
203,Maruti Swift,Maruti,Swift,5,71245,Dealer,Diesel,Manual,28.4,1248,74,5,375000
204,Tata Manza,Tata,Manza,9,20000,Individual,Diesel,Manual,21.12,1248,88.8,5,300000
205,Toyota Etios,Toyota,Etios,5,52000,Dealer,Petrol,Manual,16.78,1496,88.73,5,450000
206,Honda Brio,Honda,Brio,6,61000,Individual,Petrol,Manual,19.4,1198,86.8,5,335000
207,Kia Seltos,Kia,Seltos,2,7000,Individual,Petrol,Manual,16.1,1353,138,5,1300000
208,Maruti Alto,Maruti,Alto,3,20000,Individual,Petrol,Manual,23.95,998,67.05,5,360000
209,Maruti Celerio,Maruti,Celerio,1,8700,Individual,Petrol,Manual,21.63,998,67.04,5,505000
210,Maruti Alto,Maruti,Alto,2,25000,Individual,Petrol,Manual,24.7,796,47.3,5,310000
211,Hyundai i20,Hyundai,i20,6,42000,Dealer,Petrol,Manual,18.6,1197,81.86,5,545000
212,Mahindra Xylo,Mahindra,Xylo,12,120000,Individual,Diesel,Manual,14,2498,112,7,300000
213,Chevrolet Aveo,Chevrolet,Aveo,12,60000,Individual,Petrol,Manual,14.4,1399,94,5,200000
214,Mahindra Bolero,Mahindra,Bolero,15,120000,Individual,Diesel,Manual,13.6,2523,63,7,150000
215,Maruti Baleno,Maruti,Baleno,3,50000,Individual,Petrol,Manual,21.4,1197,83.1,5,580000
216,Maruti Wagon R,Maruti,Wagon R,10,58000,Individual,Petrol,Manual,18.9,998,67.1,5,250000
217,Hyundai Verna,Hyundai,Verna,4,36000,Individual,Petrol,Manual,17.43,1396,105.5,5,650000
218,Maruti SX4,Maruti,SX4,5,80000,Individual,Diesel,Manual,23.65,1248,88.5,5,800000
219,Audi Q3,Audi,Q3,8,71000,Dealer,Diesel,Automatic,15.73,1968,174.33,5,1475000
220,Maruti Ertiga,Maruti,Ertiga,3,30000,Individual,Diesel,Manual,25.47,1248,88.5,7,410000
221,Ford Ecosport,Ford,Ecosport,6,162828,Dealer,Diesel,Manual,22.77,1498,98.59,5,531000
222,Ford Ecosport,Ford,Ecosport,3,7500,Individual,Diesel,Manual,23,1498,98.96,5,890000
223,Tata Safari,Tata,Safari,5,47227,Dealer,Diesel,Manual,14,2179,138.1,7,775000
224,Maruti Wagon R,Maruti,Wagon R,3,52000,Dealer,CNG,Manual,33.54,998,67.04,5,435000
225,Ford Figo,Ford,Figo,9,74000,Dealer,Diesel,Manual,20,1399,68.05,5,185000
226,Mahindra Bolero,Mahindra,Bolero,10,47000,Dealer,Diesel,Manual,15.96,2523,62.1,7,440000
227,Hyundai i20,Hyundai,i20,6,50000,Individual,Petrol,Manual,18.6,1197,81.83,5,450000
228,Maruti Baleno,Maruti,Baleno,4,100000,Individual,Petrol,Manual,21.4,1197,83.1,5,600000
229,Maruti Celerio,Maruti,Celerio,7,35000,Individual,Petrol,Manual,23.1,998,67.04,5,320000
230,Hyundai i20,Hyundai,i20,5,50000,Individual,Diesel,Manual,21.19,1396,88.73,5,700000
231,Ford Aspire,Ford,Aspire,3,10000,Individual,Petrol,Manual,18.16,1196,86.8,5,630000
232,Maruti Alto,Maruti,Alto,5,10370,Individual,Petrol,Manual,22.74,796,47.3,5,320000
233,Honda City,Honda,City,8,62000,Dealer,Petrol,Manual,16.8,1497,116.3,5,465000
234,Tata Manza,Tata,Manza,10,70000,Individual,Diesel,Manual,21.12,1248,88.8,5,275000
235,Nissan Sunny,Nissan,Sunny,8,250000,Individual,Diesel,Manual,21.64,1461,84.8,5,370000
236,Hyundai i20,Hyundai,i20,5,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000
237,Maruti Swift,Maruti,Swift,4,60000,Individual,Petrol,Manual,22,1197,81.8,5,445000
238,Tata Safari,Tata,Safari,8,67231,Dealer,Diesel,Manual,14,2179,138.1,7,705000
239,Maruti Wagon R,Maruti,Wagon R,8,64000,Dealer,CNG,Manual,33.54,998,67.04,5,270000
240,Nissan Micra,Nissan,Micra,9,142587,Dealer,Diesel,Manual,23.08,1461,63.1,5,420000
241,Honda City,Honda,City,7,63000,Dealer,Diesel,Manual,26,1498,98.6,5,475000
242,Toyota Fortuner,Toyota,Fortuner,6,80000,Individual,Diesel,Manual,12.55,2982,168.5,7,1755000
243,Honda City,Honda,City,10,55000,Dealer,Petrol,Manual,16.9,1497,100,5,350000
244,Hyundai i20,Hyundai,i20,5,11000,Dealer,Petrol,Manual,18.6,1197,81.83,5,575000
245,Toyota Etios,Toyota,Etios,5,66000,Dealer,Diesel,Manual,23.59,1364,67.06,5,466000
246,Renault KWID,Renault,KWID,4,17000,Individual,Petrol,Manual,23.01,999,67,5,360000
247,Maruti Alto,Maruti,Alto,4,25000,Individual,Petrol,Manual,24.7,796,47.3,5,275000
248,Datsun GO,Datsun,GO,5,33350,Individual,Petrol,Manual,19.44,1198,67,7,320000
249,Maruti Omni,Maruti,Omni,21,45000,Individual,Petrol,Manual,14,796,35,5,95000
250,Hyundai Grand,Hyundai,Grand,6,62000,Dealer,Petrol,Manual,18.9,1197,82,5,370000
251,Honda Brio,Honda,Brio,8,30000,Individual,Petrol,Manual,19.4,1198,86.8,5,250000
252,Maruti Swift Dzire,Maruti,Swift Dzire,12,59000,Individual,Petrol,Manual,17.5,1298,85.8,5,275000
253,Mercedes-Benz GLA,Mercedes-Benz,GLA,6,20000,Dealer,Petrol,Automatic,12.33,1991,375.48,5,1950000
254,Honda City,Honda,City,7,86113,Dealer,Petrol,Manual,17.4,1497,117.3,5,550000
